"b0","b1","logL"
-0.81,-0.97,-14.264855601761
-0.8,-0.97,-14.2359967646731
-0.79,-0.97,-14.2073718669594
-0.78,-0.97,-14.1789821233933
-0.77,-0.97,-14.1508287477626
-0.76,-0.97,-14.1229129527714
-0.75,-0.97,-14.0952359499409
-0.74,-0.97,-14.0677989495101
-0.73,-0.97,-14.040603160336
-0.72,-0.97,-14.0136497897942
-0.71,-0.97,-13.9869400436784
-0.7,-0.97,-13.9604751260999
-0.69,-0.97,-13.9342562393874
-0.68,-0.97,-13.9082845839859
-0.67,-0.97,-13.8825613583558
-0.66,-0.97,-13.8570877588722
-0.65,-0.97,-13.8318649797229
-0.64,-0.97,-13.8068942128082
-0.63,-0.97,-13.7821766476384
-0.62,-0.97,-13.7577134712333
-0.61,-0.97,-13.7335058680203
-0.6,-0.97,-13.7095550197334
-0.59,-0.97,-13.6858621053113
-0.58,-0.97,-13.6624283007966
-0.57,-0.97,-13.6392547792345
-0.56,-0.97,-13.6163427105715
-0.55,-0.97,-13.5936932615545
-0.54,-0.97,-13.5713075956303
-0.53,-0.97,-13.5491868728445
-0.52,-0.97,-13.5273322497416
-0.51,-0.97,-13.5057448792649
-0.5,-0.97,-13.4844259106559
-0.49,-0.97,-13.4633764893556
-0.48,-0.97,-13.442597756905
-0.47,-0.97,-13.4220908508459
-0.46,-0.97,-13.4018569046228
-0.45,-0.97,-13.3818970474844
-0.44,-0.97,-13.3622124043863
-0.43,-0.97,-13.3428040958936
-0.42,-0.97,-13.323673238084
-0.41,-0.97,-13.304820942452
-0.4,-0.97,-13.2862483158125
-0.39,-0.97,-13.2679564602065
-0.38,-0.97,-13.2499464728057
-0.37,-0.97,-13.2322194458192
-0.36,-0.97,-13.2147764663999
-0.35,-0.97,-13.1976186165517
-0.34,-0.97,-13.1807469730378
-0.33,-0.97,-13.1641626072895
-0.32,-0.97,-13.1478665853151
-0.31,-0.97,-13.1318599676109
-0.3,-0.97,-13.1161438090717
-0.29,-0.97,-13.1007191589028
-0.28,-0.97,-13.0855870605326
-0.27,-0.97,-13.0707485515261
-0.26,-0.97,-13.0562046634995
-0.25,-0.97,-13.0419564220351
-0.24,-0.97,-13.0280048465978
-0.23,-0.97,-13.0143509504523
-0.22,-0.97,-13.0009957405809
-0.21,-0.97,-12.9879402176029
-0.2,-0.97,-12.9751853756947
-0.19,-0.97,-12.9627322025109
-0.18,-0.97,-12.9505816791064
-0.17,-0.97,-12.9387347798597
-0.16,-0.97,-12.9271924723977
-0.15,-0.97,-12.9159557175205
-0.14,-0.97,-12.9050254691284
-0.13,-0.97,-12.8944026741498
-0.12,-0.97,-12.8840882724698
-0.11,-0.97,-12.8740831968604
-0.1,-0.97,-12.8643883729118
-0.09,-0.97,-12.8550047189653
-0.08,-0.97,-12.8459331460464
-0.07,-0.97,-12.8371745578004
-0.0599999999999999,-0.97,-12.8287298504283
-0.0499999999999999,-0.97,-12.8205999126248
-0.04,-0.97,-12.8127856255167
-0.03,-0.97,-12.8052878626031
-0.02,-0.97,-12.7981074896973
-0.01,-0.97,-12.7912453648694
0,-0.97,-12.7847023383903
0.01,-0.97,-12.7784792526775
0.02,-0.97,-12.772576942242
0.03,-0.97,-12.7669962336362
